website,https_status,return_code,ip,size,ttl,response_time,exception
proximy.io,"Error: HTTPSConnectionPool(host='proximy.io', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,"['172.67.145.202', '104.21.87.198']",60,372,0.008100032806396484,False
proxiware.com,Accessible (Status Code: 200),0,"['35.152.104.113', '18.102.16.191', '35.152.119.144']",79,30,0.022949934005737305,False
proxy.direct,Accessible (Status Code: 200),0,"['188.114.96.7', '188.114.97.7']",62,372,0.009148836135864258,False
quantumult.app,Accessible (Status Code: 200),0,"['35.201.145.203', '34.81.58.59', '35.234.34.89', '104.199.224.61', '35.229.155.161']",112,372,0.0076520442962646484,False
tliip.com,"Error: HTTPSConnectionPool(host='tliip.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))",0,['146.59.228.63'],43,4497,0.007691144943237305,False
utzutzutz.net,Accessible (Status Code: 200),0,['162.55.92.89'],47,372,0.007437705993652344,False
xnet.club,"Error: HTTPSConnectionPool(host='xnet.club', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,['92.118.150.168'],43,4497,0.0065729618072509766,False
censorship.no,Accessible (Status Code: 200),0,"['142.132.196.168', '51.77.117.40', '172.104.232.45']",79,372,0.020345211029052734,False
http-tunnel.com,"Error: HTTPSConnectionPool(host='http-tunnel.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,['116.202.61.243'],49,372,0.006188631057739258,False
dirproxy.xyz,"Error: HTTPSConnectionPool(host='dirproxy.xyz', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,"['188.114.96.7', '188.114.97.7']",62,372,0.006616830825805664,False
123sumo.net,Blocked - Client Error (Status Code: 403),0,"['104.21.64.1', '104.21.112.1', '104.21.32.1', '104.21.16.1', '104.21.48.1', '104.21.80.1', '104.21.96.1']",141,372,0.005480766296386719,False
75i.net,"Error: HTTPSConnectionPool(host='75i.net', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7ff32c4751f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",3,['f1g1ns1.dnspod.net. nxdomainadmin.dnspod.com. 1 3600 60 1209600 60'],100,60,0.005322933197021484,False
123proxy.biz,Blocked - Client Error (Status Code: 403),0,"['104.21.11.254', '172.67.150.228']",62,372,0.005231142044067383,False
theproxy.how,"Error: HTTPSConnectionPool(host='theproxy.how', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,"['104.21.15.11', '172.67.160.253']",62,372,0.012537956237792969,False
verfilmesgratis.com,Blocked - Client Error (Status Code: 403),0,"['172.67.131.39', '104.21.3.200']",69,372,0.0056231021881103516,False
unblocked4u.net,Blocked - Client Error (Status Code: 403),0.0,"['172.67.140.50', '104.21.46.146']",65.0,376.0,0.013983011245727539,False
ipredator.se,"Error: HTTPSConnectionPool(host='njal.la', port=443): Max retries exceeded with url: /ipredator (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0.0,['95.215.19.22'],46.0,4501.0,0.023756027221679688,False
